family,fold,diameter_in,pitch_in,points,atlas_c,atlas_weight,fixed_joint,fixed_ct,fixed_cp,plain_j_joint,plain_j_ct,plain_j_cp,safe_atlas_joint,safe_atlas_ct,safe_atlas_cp,raw_atlas_joint,raw_atlas_ct,raw_atlas_cp,direct_poly_joint,direct_poly_ct,direct_poly_cp,extra_trees_joint,extra_trees_ct,extra_trees_cp,hist_gb_joint,hist_gb_ct,hist_gb_cp,mlp_joint,mlp_ct,mlp_cp
ancf_11x4,0,11.0,4.0,63,-0.04602482776827044,0.2,0.037071219403762845,0.04669802077867762,0.029428984037572287,0.04077835982232296,0.04610323649747444,0.03606850095849424,0.0484353170401615,0.036762482986921446,0.06381451268173481,0.07665742087114247,0.025715192478874205,0.22851705968925073,0.07275934095792277,0.029907973341158457,0.17700703542308974,0.09663245894711611,0.04280161302569668,0.2181654256011322,0.08825606518803451,0.039554762912338046,0.19692023081359408,0.116812854111762,0.06646993817378079,0.20528442271243436
ancf_125x75,0,12.5,7.5,123,-0.14041731223210152,0.9,0.05384206179689424,0.06714616033223327,0.043173989461150766,0.07785639235212302,0.0485114409861986,0.1249523350958022,0.031371563845578605,0.014964790696863848,0.06576603963618863,0.031333093073968206,0.01395563823994852,0.07034882279848893,0.049732675210813655,0.02298524540410853,0.10760550693020571,0.06828308311982047,0.04030981470075589,0.11566859026669941,0.06974009587838059,0.04240134732953702,0.11470581194804746,0.07482156924980059,0.04228076896817616,0.13240693964711006
ancf_12x8,0,12.0,8.0,115,-0.14171904809853197,0.8,0.06603745699491793,0.077328414723094,0.05639512644830215,0.06313504319292115,0.04692292338012964,0.08494853670306435,0.03327498384196991,0.022022832601207763,0.050276209683518945,0.02852547815330069,0.015581514218703423,0.0522223252793813,0.05543322866195631,0.02442242191006534,0.1258205615808442,0.05937032489962982,0.027599015789177853,0.12771598471528703,0.05393068934327551,0.02563060379357543,0.11347837438655815,0.07427692351833202,0.0334393851771206,0.1649869259893853
ancf_14x8,0,14.0,8.0,92,-0.1180492816628762,0.0,0.04725993958340252,0.04306624782405052,0.051862003361703324,0.042938971047410075,0.03523004286516432,0.052334742868946016,0.04725993958340252,0.04306624782405052,0.051862003361703324,0.024566930439951205,0.011075870774467898,0.05449089137376613,0.04630786795449076,0.019109439121548905,0.11221776949342184,0.06205254331083827,0.03344759945175083,0.11512091134964551,0.04312548943820563,0.019435669415394038,0.09569044417949003,0.06682403956516436,0.03544814981334089,0.12597137755624363
ancf_9x5,0,9.0,5.0,83,-0.10990406821398047,0.9,0.03204100576435558,0.03554574549171783,0.02888182639552944,0.062212695032569314,0.07335823261841591,0.05276053259554458,0.018515140508434405,0.010901113047513235,0.03144728676355399,0.021500559812033266,0.01264930117648412,0.036545423797025064,0.04307371387547714,0.02055486521517192,0.0902630500178132,0.05494279820456069,0.03296345649442318,0.09157750416913313,0.05077369808451362,0.02879358581098185,0.08953273253635909,0.06525663078599171,0.03725588384228044,0.11430215639405916
ancf_9x7,0,9.0,7.0,114,-0.18642181628545496,1.0,0.039269741258356486,0.046991680067057645,0.03281671513548045,0.04575784384403048,0.04475000584911839,0.046788379878969936,0.034649045897737867,0.017035114710470693,0.07047539168524761,0.034649045897737867,0.017035114710470693,0.07047539168524761,0.03927731557537008,0.021893268508283728,0.07046492478834289,0.04487236306257848,0.03316592490494951,0.06071077386174053,0.031003095749867805,0.020999059811695916,0.04577309435254395,0.0537667557629536,0.0350965241587628,0.08236895517618721
ancf_10x7,1,10.0,7.0,111,0.0,0.1,0.07409744168081109,0.10372792977832863,0.05293107531765557,0.062299104525955044,0.06833138037611422,0.05679935636266715,0.06433134150332467,0.09393379669405919,0.04405785399153491,0.03916943506258236,0.017719021538485973,0.08658743598169089,0.04404344611719626,0.021549361730131843,0.09001775412985757,0.05977460283685623,0.04336521668029431,0.08239329623660148,0.046683633394770274,0.0254782767964909,0.08553803086233336,0.08199132580142189,0.041641776499253255,0.16143829759029288
ancf_125x6,1,12.5,6.0,101,-0.0426860335408461,0.9,0.0428693842017948,0.0726908943405735,0.025282177616781736,0.05115193160661704,0.033938398228369686,0.07709615785287219,0.02759889775983999,0.01540655639847508,0.04943993569085255,0.03110388473669216,0.01818388580428773,0.053203790219871934,0.05416199700025936,0.022103122640096288,0.13271979560636976,0.0722925977587894,0.03404439273222825,0.15351190816708862,0.0644185402082706,0.025268561448714973,0.16422574474557636,0.07721445080666921,0.03088169864424914,0.19306164087854702
ancf_12x10,1,12.0,10.0,141,-0.14019499854456607,1.0,0.04603789363200043,0.04040394997627221,0.052457436743587806,0.047238673191441975,0.044009792764025335,0.05070444791350924,0.043247427176956725,0.024899909612130868,0.07511432718273697,0.043247427176956725,0.024899909612130868,0.07511432718273697,0.030196686031352667,0.019349094659249798,0.04712571121978495,0.03397508021852638,0.02802266276733784,0.04119187692615416,0.03274698711988015,0.018629744211108454,0.0575619908291694,0.05941379846520193,0.04256062515200991,0.08294049806495683
ancf_12x65,1,12.0,65.0,104,-0.03996084733085814,0.9,0.03877986669705216,0.06198252244279315,0.02426293738576293,0.050409033023092575,0.03667573204431725,0.06928479593134572,0.01984087614797757,0.010034188964688308,0.03923190680429982,0.02281896738314646,0.012343180561062156,0.042185664372092306,0.124936384351439,0.06714200577751948,0.232478907266079,0.12305631057842993,0.09543673318597928,0.1586690477309806,0.11249045905209816,0.060804480884202525,0.2081113627439817,0.24805378903231032,0.2410076196114891,0.25530596232797564
